country ,IncomeGroup
Aruba,High income
Africa Eastern and Southern,
Afghanistan,Low income
Africa Western and Central,
Angola,Lower middle income
Albania,Upper middle income
Andorra,High income
Arab World,
United Arab Emirates,High income
Argentina,Upper middle income
Armenia,Upper middle income
American Samoa,Upper middle income
Antigua and Barbuda,High income
Australia,High income
Austria,High income
Azerbaijan,Upper middle income
Burundi,Low income
Belgium,High income
Benin,Lower middle income
Burkina Faso,Low income
Bangladesh,Lower middle income
Bulgaria,Upper middle income
Bahrain,High income
"Bahamas, The",High income
Bosnia and Herzegovina,Upper middle income
Belarus,Upper middle income
Belize,Lower middle income
Bermuda,High income
Bolivia,Lower middle income
Brazil,Upper middle income
Barbados,High income
Brunei Darussalam,High income
Bhutan,Lower middle income
Botswana,Upper middle income
Central African Republic,Low income
Canada,High income
Central Europe and the Baltics,
Switzerland,High income
Channel Islands,High income
Chile,High income
China,Upper middle income
Côte d'Ivoire,Lower middle income
Cameroon,Lower middle income
"Congo, Dem. Rep.",Low income
"Congo, Rep.",Lower middle income
Colombia,Upper middle income
Comoros,Lower middle income
Cabo Verde,Lower middle income
Costa Rica,Upper middle income
Caribbean small states,
Cuba,Upper middle income
Curaçao,High income
Cayman Islands,High income
Cyprus,High income
Czech Republic,High income
Germany,High income
Djibouti,Lower middle income
Dominica,Upper middle income
Denmark,High income
Dominican Republic,Upper middle income
Algeria,Lower middle income
East Asia & Pacific (excluding high income),
Early-demographic dividend,
East Asia & Pacific,
Europe & Central Asia (excluding high income),
Europe & Central Asia,
Ecuador,Upper middle income
"Egypt, Arab Rep.",Lower middle income
Euro area,
Eritrea,Low income
Spain,High income
Estonia,High income
Ethiopia,Low income
European Union,
Fragile and conflict affected situations,
Finland,High income
Fiji,Upper middle income
France,High income
Faroe Islands,High income
"Micronesia, Fed. Sts.",Lower middle income
Gabon,Upper middle income
United Kingdom,High income
Georgia,Upper middle income
Ghana,Lower middle income
Gibraltar,High income
Guinea,Low income
"Gambia, The",Low income
Guinea-Bissau,Low income
Equatorial Guinea,Upper middle income
Greece,High income
Grenada,Upper middle income
Greenland,High income
Guatemala,Upper middle income
Guam,High income
Guyana,Upper middle income
High income,
"Hong Kong SAR, China",High income
Honduras,Lower middle income
Heavily indebted poor countries (HIPC),
Croatia,High income
Haiti,Lower middle income
Hungary,High income
IBRD only,
IDA & IBRD total,
IDA total,
IDA blend,
Indonesia,Lower middle income
IDA only,
Isle of Man,High income
India,Lower middle income
Ireland,High income
"Iran, Islamic Rep.",Lower middle income
Iraq,Upper middle income
Iceland,High income
Israel,High income
Italy,High income
Jamaica,Upper middle income
Jordan,Upper middle income
Japan,High income
Kazakhstan,Upper middle income
Kenya,Lower middle income
Kyrgyz Republic,Lower middle income
Cambodia,Lower middle income
Kiribati,Lower middle income
St. Kitts and Nevis,High income
"Korea, Rep.",High income
Kuwait,High income
