country,obesityRate,pop2021
Nauru,61.00%,10.876
Cook Islands,55.90%,17.565
Palau,55.30%,18.169
Marshall Islands,52.90%,59.61
Tuvalu,51.60%,11.931
Niue,50.00%,1.619
Tonga,48.20%,106.76
Samoa,47.30%,200.149
Kiribati,46.00%,121.392
Micronesia,45.80%,116.254
Kuwait,37.90%,4328.55
United States,36.20%,332915.073
Jordan,35.50%,10269.021
Saudi Arabia,35.40%,35340.683
Qatar,35.10%,2930.528
Lebanon,33.70%,6769.146
Libya,32.50%,6958.532
Turkey,32.10%,85042.738
Egypt,32.00%,104258.327
United Arab Emirates,31.70%,9991.089
Bahamas,31.60%,396.913
New Zealand,30.80%,4860.643
Iraq,30.40%,41179.35
Fiji,30.20%,902.906
Bahrain,29.80%,1748.296
Canada,29.40%,38067.903
Australia,29.00%,25788.215
Malta,28.90%,442.784
Mexico,28.90%,130262.216
Argentina,28.30%,45605.826
South Africa,28.30%,60041.994
Chile,28.00%,19212.361
Dominica,27.90%,72.167
Uruguay,27.90%,3485.151
Syria,27.80%,18275.702
United Kingdom,27.80%,68207.116
Dominican Republic,27.60%,10953.703
Algeria,27.40%,44616.624
Oman,27.00%,5223.375
Tunisia,26.90%,11935.766
Suriname,26.40%,591.8
Hungary,26.40%,9634.164
Lithuania,26.30%,2689.862
Israel,26.10%,8789.774
Morocco,26.10%,37344.795
Czech Republic,26.00%,10724.555
Iran,25.80%,85028.759
Costa Rica,25.70%,5139.052
Andorra,25.60%,77.355
Venezuela,25.60%,28704.954
Ireland,25.30%,4982.907
Vanuatu,25.20%,314.464
Bulgaria,25.00%,6896.663
Greece,24.90%,10370.744
Jamaica,24.70%,2973.463
El Salvador,24.60%,6518.499
Cuba,24.60%,11317.505
Belarus,24.50%,9442.862
Croatia,24.40%,4081.651
Saint Vincent and the Grenadines,24.10%,111.263
Belize,24.10%,404.914
Ukraine,24.10%,43466.819
Spain,23.80%,46745.216
Nicaragua,23.70%,6702.385
Latvia,23.60%,1866.942
Montenegro,23.30%,628.053
Barbados,23.10%,287.711
Norway,23.10%,5465.63
